2018-11-21 11:16:18  [ main:0 ] - [ INFO ]  Root WebApplicationContext: initialization started
2018-11-21 11:16:19  [ main:275 ] - [ DEBUG ]  Adding [servletConfigInitParams] PropertySource with lowest search precedence
2018-11-21 11:16:19  [ main:276 ] - [ DEBUG ]  Adding [servletContextInitParams] PropertySource with lowest search precedence
2018-11-21 11:16:19  [ main:280 ] - [ DEBUG ]  Adding [jndiProperties] PropertySource with lowest search precedence
2018-11-21 11:16:19  [ main:281 ] - [ DEBUG ]  Adding [systemProperties] PropertySource with lowest search precedence
2018-11-21 11:16:19  [ main:285 ] - [ DEBUG ]  Adding [systemEnvironment] PropertySource with lowest search precedence
2018-11-21 11:16:19  [ main:285 ] - [ DEBUG ]  Initialized StandardServletEnvironment with PropertySources [servletConfigInitParams,servletContextInitParams,jndiProperties,systemProperties,systemEnvironment]
2018-11-21 11:16:19  [ main:295 ] - [ DEBUG ]  Replacing [servletContextInitParams] PropertySource with [servletContextInitParams]
2018-11-21 11:16:19  [ main:301 ] - [ INFO ]  Refreshing Root WebApplicationContext: startup date [Wed Nov 21 11:16:19 CST 2018]; root of context hierarchy
2018-11-21 11:16:19  [ main:388 ] - [ DEBUG ]  Adding [systemProperties] PropertySource with lowest search precedence
2018-11-21 11:16:19  [ main:390 ] - [ DEBUG ]  Adding [systemEnvironment] PropertySource with lowest search precedence
2018-11-21 11:16:19  [ main:394 ] - [ DEBUG ]  Initialized StandardEnvironment with PropertySources [systemProperties,systemEnvironment]
2018-11-21 11:16:19  [ main:460 ] - [ INFO ]  Loading XML bean definitions from class path resource [spring/applicationContext.xml]
2018-11-21 11:16:19  [ main:576 ] - [ DEBUG ]  Using JAXP provider [com.sun.org.apache.xerces.internal.jaxp.DocumentBuilderFactoryImpl]
2018-11-21 11:16:19  [ main:774 ] - [ DEBUG ]  Loading schema mappings from [META-INF/spring.schemas]
